Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,58.000000,58.430000,57.480000,58.180000,50.672436,1695609
2021-10-21,57.779999,58.029999,57.169998,57.590000,50.158573,1632139
2021-10-22,57.599998,58.180000,57.369999,57.709999,50.263084,1472117
2021-10-25,57.750000,58.689999,57.650002,58.209999,50.698566,1791042
2021-10-26,58.139999,58.570000,57.740002,58.180000,50.672436,1776944
2021-10-27,58.060001,58.340000,57.279999,57.820000,50.358894,1814428
2021-10-28,57.599998,57.610001,56.439999,57.459999,50.045345,2673923
2021-10-29,57.470001,58.540001,57.160000,57.900002,50.428570,3305280
2021-11-01,58.439999,59.860001,58.410000,59.669998,51.970165,2958593
2021-11-02,59.389999,59.619999,58.830002,59.430000,51.761139,2436253
2021-11-03,59.240002,59.990002,58.959999,59.880001,52.153072,2451496
2021-11-04,60.000000,60.619999,58.400002,59.080002,51.456303,3309849
2021-11-05,58.849998,60.389999,58.820000,59.509998,51.830814,2996444
2021-11-08,59.500000,60.200001,59.220001,59.389999,51.726299,2197950
2021-11-09,59.200001,59.430000,58.580002,58.869999,51.273399,3114717
2021-11-10,58.820000,59.669998,58.820000,59.200001,51.560818,2432574
2021-11-11,59.290001,59.900002,59.150002,59.480000,51.804688,1924097
2021-11-12,59.310001,59.540001,59.009998,59.270000,51.621784,1781191
2021-11-15,58.990002,62.549999,58.730000,61.220001,53.320156,4036684
2021-11-16,61.490002,61.619999,60.160000,60.230000,52.457905,2863609
2021-11-17,60.400002,60.700001,60.169998,60.180000,52.414360,2305448
2021-11-18,60.060001,60.500000,59.330002,59.520000,51.839523,2823381
2021-11-19,59.930000,60.020000,56.709999,57.720001,50.271797,6061153
2021-11-22,57.950001,59.020000,57.869999,58.639999,51.073078,3210613
2021-11-23,58.400002,59.270000,57.939999,58.889999,51.290821,3422449
2021-11-24,59.150002,59.639999,58.509998,58.540001,50.985985,2890182
2021-11-25,58.799999,59.290001,58.270000,58.730000,51.151466,2252988
2021-11-26,56.000000,56.650002,54.430000,55.290001,48.155365,6938262
2021-11-29,56.099998,56.480000,55.290001,55.380001,48.233753,4279493
2021-11-30,53.889999,55.799999,53.509998,55.080002,47.972466,6784665
2021-12-01,55.580002,56.939999,55.509998,56.590000,49.287613,3981614
